xe,rhoe,ue,pe,ee,Me,se
0.792,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.794,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.796,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.798,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.8,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.802,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.804,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.806,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.808,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.81,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.812,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.814,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.816,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.818,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.82,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.822,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.824,0.76114,3.6038,1.0654,3.4995,2.5743,0.4455
0.826,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.828,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.83,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.832,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.834,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.836,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.838,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.84,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.842,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.844,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.846,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.848,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.85,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
0.852,1.0463,3.6038,1.0654,2.5457,3.0183,1.039e-05
